CurveName,a,bx,cx^2,dx^3,ex^4,fx^5,Description
txv2_fwd_pwr,-49.6229734398,158.232743264,-141.228945235,58.7670857716,-9.14994547964,0,Forward power in dBm. Apply to the voltage value from the icr_8bit_volts output
txv2_ref_pwr,-1.854392696,11.560288841,14.662557736,0.19214527838,0,0,Reflected power in dBm. Apply to the voltage value from the icr_8bit_volts output
8_bit_temp,-20,0.5,0,0,0,0,gtemp RT1Temp and RT2Temp IHU supplies as 7.1 fixed point with offset of 20
golf-t_bus_voltage,0,0.0399,0,0,0,0,0-255 means 0-13.61V
golf-t_tx_current,0,5.725,0,0,0,0,Milliamps of Power Amp Current
8_bit_accel,-2,0.015625,0,0,0,0,Gs (range=+/- 2)
8_bit_mag,-76.8,0.6,0,0,0,0,Microteslas (range = ~ +/- 76.8)
8_bit_spin,-3.9,0.0305,0,0,0,0,Degrees per second (range=about +/- 46  a should be 3.9)
dct_rssi,-255,1,0,0,0,0,Convert 0 to 255 into -256 to 0 for 8 bit unsigned DCT RSSI downlink
icrv2_rssi,-336.52444603906,495.2580641155,-354.14480865579,91.786916380662,0,0,RSSI dBm. Apply to the voltage value from the icr_8bit_volts output
icr_8bit_volts,0,0.01419,0,0,0,0,"ICR Voltage Divider, ADC 2.5V Reference, 8-bit output"
icr_8bit_millivolts,0,14.19,0,0,0,0,"ICR Voltage Divider, ADC 2.5V Reference, 8-bit output"
ciu_8bit_volts,0,0.063671622,0,0,0,0,"CIU Voltage Divider, ADC 2.5V Reference, 8-bit output"
psoc_8bit_volts,0,0.05216,0,0,0,0,"CIU Voltage Divider, PSOC ADC 2.048V Reference, 8-bit output"
